sentence,label
إلى المسجد أو المصلى.,إلى المسجد أو المصلى.
في مدارس الموسيقى.,في مدارس الموسيقى.
كلنا نشعر بالجوع و العطش,كلنا نشعر بالجوع والعطش.
قرأت فى الثانية عشر كتابا عن شوبنهاور وآخر عن أديناور أول مستشار لجمهورية ألمانيا الاتحادية,قرأت في الثانية عشر كتابا عن شوبنهاور وآخر عن أديناور أول مستشار لجمهورية ألمانيا الاتحادية.
في الكتب والإنترنت.,في الكتب وفي الإنترنت.
الزئبق,الزئبق
بالتقليل من استخدام البلاستيك.,بالتقليل من استخدام البلاستيك.
أنا سأخذ الأبيض وخالد الأسود,أنا سأخذ الأبيض وخالد سيأخذ الأسود.
نعم السودان يمكنه أن يحقق طفرات ولكن كيف ؟,نعم السودان يمكنه أن يحقق طفرات ولكن كيف يمكنه ذلك؟
سنبقى هكذا حتى يتوحدوا ويحسموا أمرهم ولكن متى ؟,سنبقى هكذا حتى يتوحدوا ويحسموا أمرهم ولكن متى سيتوحدوا ويحسموا أمرهم؟
بمشاركة السيارات أو استخدام وسائل النقل العامة.,بمشاركة السيارات أو استخدام وسائل النقل العامة.
بريد إلكتروني وكيبورد.,بريد إلكتروني وكيبورد.
بحضور العروض والمعارض.,بحضور العروض والمعارض.
الملابس الدافئة والكنزات والجوارب.,الملابس الدافئة والكنزات والجوارب مهمة في الشتاء.
قلق,قلق
بتبادل الثقافات.,بتبادل الثقافات.
أصفر,أصفر
روبرت شومان وجان مونيه,روبرت شومان وجان مونيه
متابعة يومية لأحدث الانباء والتقارير والاحداث وكذلك أخبار مصر في الصحف المصرية,متابعة يومية لأحدث الانباء والتقارير والاحداث وكذلك أخبار مصر في الصحف المصرية.
إيفرست,إيفرست
كنت دائماً أتحدث كثيرا فى هاتفى مع صديقاتى اتحدث معهم عن الجميع ولكن الآن فلا,كنت دائماً أتحدث كثيرا فى هاتفى مع صديقاتى اتحدث معهم عن الجميع ولكن الآن لا أتحدث.
غدًا,غدًا
بإعادة التدوير.,بإعادة التدوير.
نيوتون,نيوتون
وظيفة,وظيفة
بممارسة الامتنان.,بممارسة الامتنان.
مارتن لوثر كينغ,مارتن لوثر كينغ
ورفع الحصار الظالم عن غزة، ومشروع قرار حول الاستيطان و آخر عن الحل السياسي من كافة جوانبه,ورفع الحصار الظالم عن غزة، ومشروع قرار حول الاستيطان ومشروع قرار آخر عن الحل السياسي من كافة جوانبه.
بالمشاركة في الفعاليات الاجتماعية.,بالمشاركة في الفعاليات الاجتماعية.
بتقديم المساعدة في المهام اليومية.,بتقديم المساعدة في المهام اليومية.
