بالمشاركة في الفعاليات الاجتماعية.,___ بالمشاركة في الفعاليات الاجتماعية.
بطيء,بطيء ___
في الكتب والمقالات البحثية.,___ في الكتب والمقالات البحثية.
باستخدام كلمات مرور قوية.,___ باستخدام كلمات مرور قوية.
بالمراقبة الدقيقة.,___ بالمراقبة الدقيقة.
قيصر تشين,قيصر تشين ___
في مدارس الموسيقى.,___ في مدارس الموسيقى.
في الأسواق والمحلات التجارية.,___ في الأسواق والمحلات التجارية.
بالتطوع والمشاركة.,___ بالتطوع والمشاركة.
إننا نحث السلطات السورية على الإفراج عن كل من الرجلين، وكذلك عن كل الذين اعتقلوا لتعبيرهم عن آراهم,إننا نحث السلطات السورية على الإفراج عن كل من الرجلين، وكذلك ___ عن كل الذين اعتقلوا لتعبيرهم عن آراهم
الأوكسجين,الأوكسجين ___
بحضور العروض والمعارض.,___ بحضور العروض والمعارض.
الموز,الموز ___
جان جاك روسو,جان جاك روسو ___
قبل النوم.,___ قبل النوم.
ويتم عزل الأسرى فيها تماماً عن العالم الخارجي، وكذلك عن عالم السجن الداخلي.,ويتم عزل الأسرى فيها تماماً عن العالم الخارجي، وكذلك ___ عن عالم السجن الداخلي.
محمد يستطيع أن يذهب بمفرده، حتى محمود يستطيع,محمد يستطيع أن يذهب بمفرده، حتى محمود يستطيع___
هادريان,هادريان ___
المشتري,المشتري ___
قررت أن أكتب تدوينات عديدة فيها ملخصات كتب قرأتها وأخرى عن بعض المناطق التي سافرت إليها,قررت أن أكتب تدوينات عديدة فيها ملخصات كتب قرأتها و___أخرى عن بعض المناطق التي سافرت إليها
الخبز أو الأرز.,___ الخبز أو الأرز.
الفوسفور,الفوسفور ___
أحب من الأسماء ما شابه اسمها ووافقه,أحب من الأسماء ما شابه اسمها و___وافقه
في دور السينما.,___ في دور السينما.
كان له نصيب عن عمله وآخر عما قدمه,كان له نصيب عن عمله و___آخر عما قدمه
عمال الضفائر يتظاهرون تضامنا مع إضراب المحلة,عمال الضفائر يتظاهرون تضامنا مع إضراب ___ المحلة
في المكتبة أو المعرض.,___ في المكتبة أو المعرض.
الإسبانية,الإسبانية ___
بقضاء وقت جيد مع أفراد العائلة.,___ بقضاء وقت جيد مع أفراد العائلة.
في الجريدة أو الإذاعة.,___ في الجريدة أو الإذاعة.
بالتقليل من استخدام البلاستيك.,___ بالتقليل من استخدام البلاستيك.
الخوارزمي,الخوارزمي ___
الفضة,الفضة ___
بالمحافظة على المواطن الطبيعية.,___ بالمحافظة على المواطن الطبيعية.
بالماء أو العصير.,___ بالماء أو العصير.
على الرفوف.,___ على الرفوف.
فريدريك الثاني,فريدريك الثاني ___
بالغراء أو البراغي.,___ بالغراء أو البراغي.
غدًا,___ غدًا
فدراسة تتحدث عن الفوائد وأخرى عن المضار,فدراسة تتحدث عن الفوائد و___أخرى ___عن المضار
وقد يكون للنفط شأن في الأعمال الروائية ولكن متى ؟,وقد يكون للنفط شأن في الأعمال الروائية ولكن متى ___ ؟
الأذن,الأذن ___
بعد اتمام استبيان عن الرؤية و آخر عن الترقي والثواب والعقاب في وسائل الإعلام,بعد اتمام استبيان عن الرؤية و ___ آخر عن الترقي والثواب والعقاب في وسائل الإعلام
ماركو بولو,ماركو بولو ___
برمي القمامة في الحاويات.,___ برمي القمامة في الحاويات.
في الأوقات الوطنية.,___ في الأوقات الوطنية.
بالحد من الاستهلاك.,___ بالحد من الاستهلاك.
في الأوقات المخصصة للصلوات والعبادة.,___ في الأوقات المخصصة للصلوات والعبادة.
وكان بدأ بإصدار موسوعة حركة القوميين العرب و أخرى عن الأحزاب السياسية في العالم العربي,وكان بدأ بإصدار موسوعة حركة القوميين العرب و ___ أخرى عن الأحزاب السياسية في العالم العربي
تقدير,___ تقدير
تبدلت حالتي وتحولت في لحظات هل لأنني رأيته ولكن لماذا ؟,تبدلت حالتي وتحولت في لحظات هل لأنني رأيته ولكن لماذا ___؟
بالمشاركة الفعّالة.,___ بالمشاركة الفعّالة.
لسماع حكمة جديدة كل يوم وأخرى عن عالمات الفلك والنجوم,لسماع حكمة جديدة كل يوم و___أخرى عن عالمات الفلك والنجوم
المحكمة الدستورية ستقضى بعدم دستوريته ولكن متى ؟,المحكمة الدستورية ستقضى بعدم دستوريته ولكن متى ___ ؟
بالكتب والأفلام والهوايات.,___ بالكتب والأفلام والهوايات.
دواء يستخدم في حالات ارتفاع ضغط الدم وكذلك حالات فشل القلب,دواء يستخدم في حالات ارتفاع ضغط الدم وكذلك ___ حالات فشل القلب
المصابيح أو الشموع.,___ المصابيح أو الشموع.
ناهيك عن مقال عن الريع الحزبي والنقابي والجمعوي و آخر عن الفرق بين المناضل والانتهازي,ناهيك عن مقال عن الريع الحزبي والنقابي والجمعوي و ___ آخر عن الفرق بين المناضل والانتهازي
إلى النادي أو المركز الثقافي.,___ إلى النادي أو المركز الثقافي.
فيلم تسجيلى عن بداية تأسيس المستشفى و آخر عن أشهر الفنانين الذين قاموا بزيارة بهية.,فيلم تسجيلى عن بداية تأسيس المستشفى و ___ آخر عن أشهر الفنانين الذين قاموا بزيارة بهية.
الهاتف أو الإنترنت.,___ الهاتف أو الإنترنت.
كانت الأولوية للأفران والمشافي والنقل والاتصالات والمياه أما التدفئة فلم,كانت الأولوية للأفران والمشافي والنقل والاتصالات والمياه أما التدفئة فلم ___
بانتظار الضوء الخضراء.,___ بانتظار الضوء الخضراء.
جان جاك روسو,جان جاك روسو ___
يختار كل منهم صورة فوتوغرافية تعبر عن الحرب و أخرى عن السلام,يختار كل منهم صورة فوتوغرافية تعبر عن الحرب و ___ أخرى عن السلام
بمناقشة الأفكار والآراء.,___ بمناقشة الأفكار والآراء.
يوسف ستالين,يوسف ستالين ___
بتوفير المواد الدراسية.,___ بتوفير المواد الدراسية.
وقالوا له أنت تدخل أما هؤلاء فلا,وقالوا له أنت تدخل أما هؤلاء فلا ___
كما يستعرض المجلس تقريراً عن السياسة الخارجية المصرية و آخر عن نتائج جولة رئيس الوزارء لعدد من المواقع,كما يستعرض المجلس تقريراً عن السياسة الخارجية المصرية و ___ آخر عن نتائج جولة رئيس الوزارء لعدد من المواقع
نهاية,نهاية ___
في الشركات والمؤسسات.,___ في الشركات والمؤسسات.
محمد.,___ محمد.
القمر,القمر ___
ويقول العلماء ان السؤال ليس هل سيحدث ذلك ولكن متى ؟,ويقول العلماء ان السؤال ليس هل سيحدث ذلك ولكن متى ___ ؟
